,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,song_popularity,explicit,album_popularity,artist_popularity,uri,r&b,pop,rap,hip hop,funk,rock,duration_min,rf_pred_class,rf_pred_disliked,rf_pred_liked
536,0.4,0.17300000000000001,0.0,-13.118,1.0,0.0549,0.9309999999999999,0.41100000000000003,0.0448,0.19399999999999998,77.956,4.0,40.0,0,48,55,spotify:track:6HpcOt4B7DjGtCOnH2qfFc,1,0,0,0,0,0,6.068683333333333,0,0.635,0.365
537,0.674,0.311,2.0,-10.87,1.0,0.0469,0.765,0.000109,0.332,0.5529999999999999,75.72399999999999,4.0,35.0,0,29,50,spotify:track:5ZRGhLpSNOI4A038Gt9hX5,1,0,0,0,0,0,3.4337,1,0.43,0.57
538,0.552,0.65,1.0,-7.199,1.0,0.128,0.42200000000000004,0.000275,0.37200000000000005,0.316,167.78799999999998,4.0,78.0,0,72,85,spotify:track:3xaugmCyXrVkrDTXbFkMW3,1,1,0,0,0,0,3.0003166666666665,1,0.46,0.54
539,0.863,0.5329999999999999,5.0,-7.986000000000001,0.0,0.0484,0.29100000000000004,0.00126,0.0794,0.738,102.025,4.0,67.0,0,61,68,spotify:track:66tkDkPsznE5zIHNt4QkXB,0,0,0,0,0,0,4.16595,1,0.23,0.77
540,0.743,0.519,4.0,-11.383,0.0,0.0617,0.13699999999999998,0.55,0.0502,0.737,93.005,4.0,51.0,0,45,65.5,spotify:track:5G7602PyF33hYDi4utEpoZ,1,0,0,1,0,0,2.4086,0,0.56,0.44
541,0.586,0.7859999999999999,2.0,-3.7680000000000002,1.0,0.0484,0.0212,9.350000000000001e-05,0.642,0.326,115.959,4.0,35.0,0,29,83,spotify:track:2P0NiuAfypaw5UZJoo0n0o,0,0,0,0,0,0,4.550216666666667,1,0.43,0.57
542,0.8190000000000001,0.596,7.0,-7.697,0.0,0.12300000000000001,0.0302,4.59e-06,0.102,0.473,108.204,4.0,66.0,1,71,74.5,spotify:track:70pZIQqQ37SrNCADx0FiPN,1,1,1,1,0,0,3.47325,0,0.51,0.49
543,0.584,0.684,10.0,-4.314,0.0,0.5670000000000001,0.312,9.05e-05,0.11199999999999999,0.72,210.16400000000002,4.0,67.0,1,61,64,spotify:track:3NRql0A1Ef4RCvT473iqgD,1,0,0,1,0,0,3.55955,0,0.51,0.49
544,0.7929999999999999,0.465,5.0,-8.134,0.0,0.271,0.648,0.000132,0.0871,0.898,141.85,4.0,51.0,0,45,64.5,spotify:track:5NM8v7DOexgrrxefEnKR2V,1,0,0,1,0,0,3.229,0,0.62,0.38
545,0.373,0.609,0.0,-7.0,1.0,0.0316,0.10800000000000001,0.00042699999999999997,0.0755,0.354,179.955,4.0,68.0,1,83,83,spotify:track:0xtIp0lgccN85GfGOekS5L,0,0,0,0,0,0,4.511333333333333,1,0.35,0.65
546,0.784,0.63,0.0,-5.894,1.0,0.0341,0.5,0.0238,0.115,0.564,91.994,4.0,48.0,0,44,46,spotify:track:1lKdkr5awXdc7RQADSS9t0,1,0,0,0,0,0,4.282,0,0.65,0.35
547,0.893,0.304,3.0,-7.445,0.0,0.0939,0.505,2.7899999999999997e-05,0.0667,0.7,149.908,4.0,45.0,1,38,54,spotify:track:5O5UV6RH03cYfL5DaA2qwd,1,0,0,1,0,0,2.3909333333333334,0,0.61,0.39
548,0.466,0.348,7.0,-13.993,1.0,0.138,0.45299999999999996,7.390000000000001e-05,0.106,0.172,106.836,3.0,36.0,0,40,50,spotify:track:56Ny0T2wFaSJV6U5RXBV2W,0,0,0,0,0,0,2.3792666666666666,0,0.79,0.21
549,0.659,0.457,0.0,-10.654000000000002,0.0,0.27399999999999997,0.44799999999999995,1.31e-06,0.129,0.6940000000000001,76.043,4.0,59.0,1,52,63.5,spotify:track:79tTcoeAq2Dt2qlH3CHm3m,1,0,0,0,0,0,3.16705,0,0.54,0.46
550,0.823,0.5579999999999999,9.0,-7.119,1.0,0.0278,0.397,2.0300000000000002e-05,0.0821,0.674,155.974,4.0,65.0,1,69,67,spotify:track:6GCIYIWUBSLontW6divqsw,1,1,0,0,0,0,2.92845,0,0.59,0.41
551,0.877,0.387,6.0,-7.487,0.0,0.146,0.24600000000000002,0.0012699999999999999,0.11599999999999999,0.647,97.35,4.0,55.0,1,49,52,spotify:track:42DZ6nBYhvyoLwmCUGz2T9,1,0,1,0,0,0,4.0292666666666666,0,0.68,0.32
552,0.55,0.536,6.0,-10.045,1.0,0.0423,0.0061200000000000004,0.884,0.37200000000000005,0.539,85.458,4.0,55.0,0,64,73,spotify:track:3GO6bT0b1sdInk1KPCK64d,0,0,0,0,1,0,3.7525666666666666,0,0.5,0.5
553,0.635,0.3,2.0,-13.957,0.0,0.0285,0.7070000000000001,0.8290000000000001,0.574,0.772,91.45200000000001,4.0,66.0,0,69,73,spotify:track:4AKUOaCRcoKTFnVI9LtsrN,0,0,0,0,1,0,3.63845,1,0.09,0.91
554,0.826,0.8370000000000001,9.0,-6.806,1.0,0.053,0.19699999999999998,0.774,0.0667,0.86,104.947,4.0,28.0,0,22,20,spotify:track:2zwPT8zx1fXTkD8VkqeKqB,0,0,0,0,0,0,7.200583333333333,0,0.6225,0.3775
555,0.779,0.36200000000000004,0.0,-10.847000000000001,1.0,0.0474,0.135,0.20600000000000002,0.111,0.46,85.01100000000001,4.0,67.0,0,81,86,spotify:track:3Qa944OTMZkg8DHjET8JQv,0,0,1,1,0,0,4.773116666666667,1,0.28,0.72
556,0.838,0.706,7.0,-7.626,0.0,0.067,0.303,0.863,0.0712,0.7759999999999999,118.01700000000001,4.0,57.0,0,54,72,spotify:track:0slkzFvyBWcwnjEEDtYE5E,0,1,0,0,0,0,3.5563666666666665,0,0.53,0.47
557,0.638,0.6659999999999999,2.0,-5.2379999999999995,1.0,0.248,0.308,6.97e-06,0.20199999999999999,0.465,99.178,4.0,47.0,0,73,73,spotify:track:4q4kOEBru4PwKNUI8T8t1P,1,0,0,0,0,0,2.5777833333333335,0,0.82,0.18
558,0.728,0.623,2.0,-11.81,1.0,0.0408,0.0009880000000000002,0.825,0.0918,0.0381,120.006,4.0,56.0,0,54,51.666666666666664,spotify:track:0y50PSpOcYLOYrc0Xgw67R,0,0,0,0,0,0,7.0617833333333335,1,0.45,0.55
559,0.6729999999999999,0.627,5.0,-8.469,0.0,0.0377,0.136,0.424,0.366,0.7609999999999999,117.911,4.0,61.0,0,81,83,spotify:track:1unBUyjeQUDiJ8N89XiDrr,0,0,0,0,0,0,2.147116666666667,1,0.4,0.6
560,0.795,0.529,4.0,-18.345,0.0,0.0605,0.0273,0.000129,0.0938,0.419,117.009,4.0,55.0,1,49,58,spotify:track:5v0C3nNNDMhZ3nWzzP0W4T,1,0,1,1,0,0,3.0171,0,0.77,0.23
561,0.795,0.674,1.0,-5.542000000000001,1.0,0.16399999999999998,0.00625,0.0,0.21899999999999997,0.8690000000000001,142.069,4.0,58.0,1,52,69,spotify:track:3ndhPhaWdICplZVrC4NeCR,0,0,1,1,0,0,2.95,0,0.89,0.11
562,0.278,0.9309999999999999,7.0,-3.719,1.0,0.121,0.00525,5.78e-06,0.14400000000000002,0.16699999999999998,178.34599999999998,4.0,70.0,0,64,81,spotify:track:4cI2rd2D44mBjwUVFxTkUZ,0,1,0,0,0,1,3.800666666666667,0,0.7,0.3
563,0.6829999999999999,0.715,11.0,-6.024,0.0,0.0789,0.0409,1.72e-06,0.0935,0.77,99.98899999999999,4.0,69.0,0,63,74,spotify:track:73FDJgnjt6ZcxoiavN6XrS,1,1,0,0,0,0,3.251116666666667,0,0.61,0.39
564,0.799,0.938,7.0,-3.805,1.0,0.0881,0.11900000000000001,0.0,0.503,0.831,130.002,4.0,28.0,0,22,53,spotify:track:2m2Ciu7xwxAs2kxbFXEHOz,0,0,0,0,0,0,3.5339833333333335,0,0.71,0.29
565,0.7509999999999999,0.735,2.0,-5.78,1.0,0.0462,0.0556,1.65e-06,0.0588,0.7240000000000001,100.023,4.0,33.0,0,46,64,spotify:track:42thnuo0eQW3nj7ZiyNVbq,0,0,0,0,0,0,3.08115,0,0.7,0.3
566,0.58,0.748,7.0,-6.393,1.0,0.299,0.27399999999999997,0.0,0.127,0.9390000000000001,202.05200000000002,4.0,56.0,1,53,79.5,spotify:track:4gKy5k5bhga2GFa7svTfbd,1,1,1,0,0,0,3.24305,0,0.59,0.41
567,0.951,0.6609999999999999,7.0,-2.678,0.0,0.0612,0.397,0.0,0.0686,0.9259999999999999,104.99700000000001,4.0,58.0,0,52,71,spotify:track:0XQuWhRG7qD7OYHKsgt0BN,0,1,0,1,0,0,3.9619,1,0.4,0.6
568,0.649,0.61,3.0,-7.562,1.0,0.215,0.392,0.00214,0.0959,0.955,206.05599999999998,4.0,25.0,0,19,35,spotify:track:6hXEymKi9n24oITkZsbpJu,1,0,0,0,0,0,3.56,0,0.5,0.5
569,0.812,0.366,5.0,-10.245,0.0,0.447,0.36,0.0,0.0793,0.659,114.09299999999999,4.0,64.0,0,57,55,spotify:track:0z0qRN3HNUCOG9y1R7umuD,0,1,0,1,0,0,3.55865,0,0.52,0.48
