,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,song_popularity,explicit,artists,genres,album_popularity,artist_popularity
119,0.435,0.398,9.0,-8.77,1.0,0.0384,0.722,0.0,0.193,0.289,112.0,284870.0,4.0,44,True,['Mei'],"[['bedroom soul', 'indie r&b', 'lo-fi chill']]",[40],[40]
120,0.832,0.224,6.0,-9.531,1.0,0.177,0.393,3.55e-05,0.369,0.325,68.982,201436.0,4.0,37,False,['Us The Duo'],"[['folk-pop', 'indiecoustica', 'neo mellow', 'viral pop']]",[44],[60]
121,0.837,0.636,1.0,-7.643,1.0,0.086,0.0395,0.00125,0.342,0.274,145.972,288624.0,4.0,80,True,['21 Savage'],"[['atl hip hop', 'rap', 'southern hip hop', 'trap']]",[80],[86]
122,0.904,0.575,1.0,-7.823,1.0,0.346,0.0493,0.0,0.256,0.359,141.037,177748.0,4.0,56,True,['21 Savage'],"[['atl hip hop', 'rap', 'southern hip hop', 'trap']]",[80],[86]
123,0.924,0.567,5.0,-5.009,1.0,0.0961,0.00169,0.0,0.0898,0.827,146.976,211588.0,4.0,54,True,['21 Savage'],"[['atl hip hop', 'rap', 'southern hip hop', 'trap']]",[80],[86]
124,0.841,0.695,9.0,-5.625,1.0,0.415,0.001,4.26e-05,0.189,0.408,173.368,137232.0,4.0,57,True,['21 Savage'],"[['atl hip hop', 'rap', 'southern hip hop', 'trap']]",[80],[86]
125,0.809,0.461,10.0,-5.677,0.0,0.0907,0.000832,4.43e-05,0.143,0.325,85.992,167410.0,4.0,57,True,['21 Savage'],"[['atl hip hop', 'rap', 'southern hip hop', 'trap']]",[80],[86]
126,0.885,0.52,1.0,-8.353,1.0,0.359,0.000244,1.16e-06,0.454,0.306,84.022,148656.0,4.0,61,True,['21 Savage'],"[['atl hip hop', 'rap', 'southern hip hop', 'trap']]",[80],[86]
127,0.713,0.62,0.0,-4.513,1.0,0.0422,0.171,1.16e-06,0.118,0.206,130.09,211785.0,4.0,70,True,['21 Savage'],"[['atl hip hop', 'rap', 'southern hip hop', 'trap']]",[80],[86]
128,0.872,0.591,6.0,-6.952,0.0,0.359,0.111,0.0,0.144,0.696,131.982,205352.0,4.0,68,True,['21 Savage'],"[['atl hip hop', 'rap', 'southern hip hop', 'trap']]",[80],[86]
129,0.84,0.543,1.0,-7.738,1.0,0.476,0.0399,0.0,0.117,0.161,170.067,171714.0,4.0,61,True,['21 Savage'],"[['atl hip hop', 'rap', 'southern hip hop', 'trap']]",[80],[86]
130,0.892,0.633,8.0,-7.471,1.0,0.0902,0.0467,0.000189,0.139,0.459,137.994,195047.0,4.0,73,True,['21 Savage'],"[['atl hip hop', 'rap', 'southern hip hop', 'trap']]",[80],[86]
131,0.966,0.519,1.0,-5.682,1.0,0.306,0.00359,0.0,0.254,0.119,122.195,242448.0,4.0,51,True,['21 Savage'],"[['atl hip hop', 'rap', 'southern hip hop', 'trap']]",[80],[86]
132,0.959,0.55,5.0,-8.012,0.0,0.197,0.0187,0.0,0.112,0.798,130.024,191360.0,4.0,55,True,['21 Savage'],"[['atl hip hop', 'rap', 'southern hip hop', 'trap']]",[80],[86]
133,0.89,0.607,9.0,-6.916,0.0,0.124,0.158,0.000228,0.118,0.224,134.022,233040.0,4.0,68,True,['21 Savage'],"[['atl hip hop', 'rap', 'southern hip hop', 'trap']]",[80],[86]
134,0.864,0.608,1.0,-10.567,0.0,0.275,0.0531,1.2e-05,0.078,0.963,80.225,194810.0,4.0,54,True,['21 Savage'],"[['atl hip hop', 'rap', 'southern hip hop', 'trap']]",[80],[86]
135,0.879,0.41,8.0,-9.233,1.0,0.551,0.000897,2.09e-05,0.108,0.0703,80.011,288364.0,4.0,59,True,['21 Savage'],"[['atl hip hop', 'rap', 'southern hip hop', 'trap']]",[80],[86]
136,0.827,0.613,8.0,-5.34,1.0,0.0621,0.366,1.25e-05,0.093,0.747,137.96,177973.0,4.0,67,False,['Lennon Stella'],"[['canadian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop']]",[72],[81]
137,0.522,0.191,6.0,-15.47,1.0,0.0836,0.757,0.00417,0.158,0.666,83.571,75265.0,4.0,43,True,['JID'],"[['hip hop', 'rap', 'underground hip hop']]",[66],[75]
138,0.746,0.678,2.0,-6.335,1.0,0.421,0.224,0.0,0.144,0.536,78.909,198298.0,4.0,48,True,['JID'],"[['hip hop', 'rap', 'underground hip hop']]",[66],[75]
139,0.594,0.645,1.0,-7.45,1.0,0.315,0.0287,1.66e-05,0.0668,0.205,103.974,241682.0,4.0,65,True,['JID'],"[['hip hop', 'rap', 'underground hip hop']]",[66],[75]
140,0.769,0.421,0.0,-9.6,1.0,0.421,0.141,0.00707,0.389,0.326,157.964,140512.0,4.0,58,True,['JID'],"[['hip hop', 'rap', 'underground hip hop']]",[66],[75]
141,0.761,0.728,0.0,-7.585,1.0,0.485,0.563,0.0,0.181,0.938,83.802,265883.0,4.0,53,True,"['JID', 'EARTHGANG']","[['hip hop', 'rap', 'underground hip hop'], ['atl hip hop', 'hip hop', 'psychedelic hip hop', 'rap', 'underground hip hop']]","[66, 66]","[75, 72]"
142,0.491,0.551,7.0,-12.332,1.0,0.358,0.466,1.94e-05,0.199,0.361,154.992,243206.0,4.0,54,True,['JID'],"[['hip hop', 'rap', 'underground hip hop']]",[66],[75]
143,0.86,0.455,1.0,-12.049,1.0,0.316,0.488,0.0,0.139,0.274,107.007,214415.0,4.0,46,True,['JID'],"[['hip hop', 'rap', 'underground hip hop']]",[66],[75]
144,0.547,0.636,4.0,-8.739,0.0,0.443,0.112,1.01e-05,0.142,0.416,173.961,111810.0,4.0,53,True,"['JID', '6LACK']","[['hip hop', 'rap', 'underground hip hop'], ['alternative r&b', 'atl hip hop', 'hip hop', 'melodic rap', 'pop', 'pop rap', 'rap', 'trap']]","[66, 66]","[75, 82]"
145,0.552,0.658,6.0,-8.215,0.0,0.665,0.648,0.0,0.399,0.449,160.24,156472.0,4.0,44,True,['JID'],"[['hip hop', 'rap', 'underground hip hop']]",[66],[75]
146,0.704,0.672,8.0,-8.519,1.0,0.339,0.425,1.1e-05,0.14,0.617,92.407,242931.0,4.0,52,True,['JID'],"[['hip hop', 'rap', 'underground hip hop']]",[66],[75]
147,0.692,0.547,9.0,-6.564,1.0,0.0269,0.145,0.00154,0.131,0.482,105.449,238120.0,4.0,0,False,['The Virgins'],[['dance-punk']],[0],[43]
148,0.775,0.566,7.0,-9.25,1.0,0.385,0.461,1.41e-05,0.634,0.528,99.452,215902.0,4.0,46,True,['JID'],"[['hip hop', 'rap', 'underground hip hop']]",[66],[75]
149,0.538,0.238,11.0,-14.541,1.0,0.316,0.854,0.0482,0.11,0.507,78.881,291760.0,1.0,54,True,"['JID', 'Mereba']","[['hip hop', 'rap', 'underground hip hop'], ['alternative r&b', 'escape room', 'indie r&b', 'indie soul']]","[66, 66]","[75, 62]"
150,0.62,0.625,9.0,-7.438,1.0,0.553,0.287,0.0,0.314,0.665,167.911,284856.0,4.0,60,True,"['Cardi B', 'Chance the Rapper']","[['pop', 'pop rap', 'rap'], ['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap']]","[83, 83]","[87, 84]"
151,0.803,0.569,2.0,-7.392,1.0,0.0739,0.0623,0.0,0.083,0.809,107.986,188889.0,4.0,5,False,"['NEIKED', 'Dyo']","[['scandipop', 'tropical house'], []]","[2, 2]","[60, 56]"
152,0.762,0.336,4.0,-13.009,0.0,0.0699,0.83,0.864,0.109,0.566,166.012,213571.0,4.0,49,False,['JORDANN'],[[]],[43],[45]
153,0.774,0.372,6.0,-12.444,1.0,0.302,0.0979,0.0389,0.109,0.258,89.967,159010.0,4.0,0,True,['Kaiit'],"[['alternative r&b', 'australian hip hop', 'australian r&b']]",[0],[53]
154,0.583,0.452,4.0,-8.265,0.0,0.0991,0.0501,0.000112,0.135,0.705,136.067,208000.0,4.0,38,False,['Young Bull'],[['nc hip hop']],[43],[38]
155,0.55,0.374,0.0,-8.079,1.0,0.0237,0.721,0.000168,0.133,0.193,94.031,281248.0,4.0,46,False,['Hippo Campus'],"[['indie pop', 'indie poptimism', 'indie rock', 'indietronica', 'minneapolis indie', 'modern alternative rock', 'modern rock']]",[44],[69]
156,0.384,0.628,8.0,-5.431,1.0,0.214,0.177,0.0,0.0868,0.661,83.519,216427.0,4.0,24,True,['Mack Keane'],[[]],[18],[35]
157,0.668,0.546,11.0,-7.872,0.0,0.0415,0.529,1.3e-06,0.118,0.375,76.002,215030.0,4.0,45,True,['Elujay'],"[['alternative r&b', 'cali rap', 'indie r&b', 'underground hip hop']]",[51],[53]
158,0.442,0.267,7.0,-12.857,1.0,0.0365,0.921,0.00026,0.148,0.116,120.075,231681.0,4.0,63,True,['Choker'],"[['alternative r&b', 'indie r&b', 'indie soul']]",[61],[60]
159,0.68,0.215,9.0,-14.517,1.0,0.0628,0.93,3.35e-05,0.227,0.286,102.773,272065.0,4.0,40,False,['Peach Tree Rascals'],"[['alternative r&b', 'indie r&b']]",[34],[66]
160,0.562,0.437,0.0,-10.229,1.0,0.052,0.219,2.18e-05,0.0806,0.15,124.852,277506.0,4.0,68,False,['Lorde'],"[['art pop', 'dance pop', 'metropopolis', 'nz pop', 'pop', 'post-teen pop']]",[77],[80]
161,0.675,0.71,1.0,-4.027,1.0,0.21,0.39,0.0,0.381,0.574,97.98,244688.0,4.0,64,True,"['Kehlani', 'Dom Kennedy']","[['pop', 'pop rap', 'post-teen pop', 'r&b', 'rap'], ['cali rap', 'hip hop', 'rap', 'southern hip hop', 'trap', 'underground hip hop', 'west coast trap']]","[76, 76]","[86, 66]"
162,0.749,0.476,11.0,-11.147,0.0,0.507,0.579,0.0,0.1,0.534,71.937,188189.0,4.0,61,True,['Drake'],"[['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']]",[72],[99]
163,0.754,0.376,0.0,-7.561,1.0,0.204,0.404,0.0,0.358,0.554,95.018,251427.0,4.0,57,False,['Musiq Soulchild'],"[['dance pop', 'hip pop', 'neo soul', 'quiet storm', 'r&b', 'urban contemporary']]",[55],[62]
164,0.679,0.27,2.0,-10.649,1.0,0.0454,0.589,0.0,0.0621,0.415,120.608,268657.0,3.0,55,False,"['Mac Ayres', 'Jack Dine', 'Chris Anderson']","[['alternative r&b', 'indie r&b'], [], []]","[63, 63, 63]","[66, 54, 48]"
165,0.729,0.475,8.0,-4.985,1.0,0.0364,0.378,0.0,0.12,0.371,62.52,212267.0,3.0,74,True,['Ariana Grande'],"[['dance pop', 'pop', 'post-teen pop']]",[89],[95]
166,0.647,0.309,7.0,-7.948,0.0,0.0366,0.78,7.41e-06,0.202,0.195,87.045,171573.0,4.0,74,True,['Ariana Grande'],"[['dance pop', 'pop', 'post-teen pop']]",[89],[95]
167,0.758,0.665,2.0,-5.188,0.0,0.0774,0.0815,0.000157,0.216,0.643,151.976,216893.0,4.0,72,True,['Ariana Grande'],"[['dance pop', 'pop', 'post-teen pop']]",[89],[95]
168,0.45,0.619,9.0,-7.412,1.0,0.372,0.329,0.0,0.319,0.427,83.3,208880.0,4.0,71,True,['Ariana Grande'],"[['dance pop', 'pop', 'post-teen pop']]",[89],[95]
169,0.847,0.579,1.0,-5.314,1.0,0.0719,0.0268,0.0545,0.102,0.569,137.998,267107.0,4.0,71,False,['Ariana Grande'],"[['dance pop', 'pop', 'post-teen pop']]",[89],[95]
170,0.671,0.714,7.0,-5.373,1.0,0.21,0.0844,1.48e-06,0.0568,0.477,105.137,140693.0,3.0,68,True,['Ariana Grande'],"[['dance pop', 'pop', 'post-teen pop']]",[89],[95]
171,0.287,0.364,9.0,-8.295,1.0,0.0306,0.418,1.8e-05,0.185,0.11,103.777,271467.0,4.0,71,False,['Ariana Grande'],"[['dance pop', 'pop', 'post-teen pop']]",[89],[95]
172,0.662,0.6,0.0,-6.402,1.0,0.0703,0.173,0.000137,0.109,0.331,134.979,222947.0,4.0,72,True,['Ariana Grande'],"[['dance pop', 'pop', 'post-teen pop']]",[89],[95]
173,0.778,0.317,1.0,-10.732,0.0,0.334,0.592,0.0,0.0881,0.327,140.048,178627.0,4.0,87,True,['Ariana Grande'],"[['dance pop', 'pop', 'post-teen pop']]",[89],[95]
174,0.717,0.653,1.0,-5.634,1.0,0.0658,0.229,0.0,0.101,0.412,106.966,207320.0,4.0,85,True,['Ariana Grande'],"[['dance pop', 'pop', 'post-teen pop']]",[89],[95]
175,0.726,0.554,5.0,-5.29,0.0,0.0917,0.0421,0.0,0.106,0.335,169.999,190440.0,4.0,81,True,['Ariana Grande'],"[['dance pop', 'pop', 'post-teen pop']]",[89],[95]
176,0.558,0.27,5.0,-11.37,1.0,0.0353,0.925,0.000968,0.132,0.678,77.808,188053.0,4.0,41,False,['East of Underground'],[[]],[36],[32]
177,0.663,0.695,0.0,-10.998,0.0,0.0346,0.647,0.486,0.449,0.575,98.466,362473.0,4.0,29,False,['Sunset Rollercoaster'],[['taiwan indie']],[39],[56]
178,0.456,0.257,10.0,-16.877,0.0,0.0298,0.859,0.475,0.111,0.181,104.311,243013.0,4.0,48,False,['Triosence'],"[['contemporary jazz', 'german jazz', 'modern jazz trio', 'swedish jazz']]",[42],[39]
179,0.487,0.68,7.0,-8.497,0.0,0.0408,0.000599,0.0339,0.144,0.0752,94.46,324807.0,3.0,65,False,['Hippie Sabotage'],[['edm']],[62],[76]
180,0.701,0.788,2.0,-5.611,1.0,0.0425,0.148,0.625,0.0977,0.795,142.584,462267.0,4.0,61,False,['LCD Soundsystem'],"[['alternative dance', 'alternative rock', 'dance-punk', 'electronic rock', 'electronica', 'garage rock', 'indie pop', 'indie rock', 'indietronica', 'modern rock', 'new rave', 'rock']]",[64],[66]
181,0.446,0.881,2.0,-4.368,1.0,0.0545,0.00749,0.0,0.13,0.415,169.889,241253.0,4.0,50,False,['WALK THE MOON'],"[['indie pop', 'indie poptimism', 'modern alternative rock', 'modern rock', 'pop', 'pop rock', 'rock']]",[74],[72]
182,0.702,0.606,2.0,-5.133,1.0,0.116,0.00158,0.0,0.184,0.456,85.0,191960.0,4.0,0,False,['Johnny Osbourne'],"[['dub', 'lovers rock', 'old school dancehall', 'reggae', 'rock steady', 'roots reggae', 'ska']]",[0],[47]
183,0.551,0.527,3.0,-7.119,1.0,0.0302,0.45,0.0,0.0867,0.642,133.758,212560.0,4.0,5,False,['Shania Twain'],"[['canadian country', 'canadian pop', 'country', 'country dawn', 'dance pop']]",[8],[74]
184,0.583,0.776,3.0,-5.293,1.0,0.0661,0.827,3.81e-05,0.298,0.782,126.536,248213.0,4.0,0,False,['Joe Cuba'],"[['boogaloo', 'latin jazz', 'salsa']]",[0],[32]
185,0.313,0.77,7.0,-7.265,1.0,0.0335,0.128,0.0787,0.0873,0.19,74.749,286960.0,4.0,43,False,['Beach House'],"[['art pop', 'baltimore indie', 'chamber pop', 'chillwave', 'dream pop', 'experimental pop', 'freak folk', 'indie pop', 'indie rock', 'indietronica', 'modern dream pop']]",[60],[69]
186,0.628,0.224,7.0,-14.601,0.0,0.0555,0.765,5.2e-05,0.102,0.345,54.858,130507.0,5.0,23,False,['Jean Leloup'],"[['indie quebecois', 'pop quebecois', 'rock quebecois']]",[29],[51]
187,0.715,0.647,5.0,-5.965,0.0,0.321,0.707,0.0,0.179,0.729,92.919,234195.0,4.0,0,False,['Hugo TSR'],"[['french hip hop', 'pop urbaine', 'rap conscient']]",[0],[57]
188,0.917,0.732,0.0,-8.56,1.0,0.0888,0.359,8.99e-05,0.0794,0.777,103.332,236947.0,4.0,6,False,['Bob Marley & The Wailers'],[['reggae']],[10],[84]
189,0.477,0.566,2.0,-12.274,1.0,0.335,0.238,0.0,0.122,0.778,167.907,297493.0,4.0,57,False,['Bootsy Collins'],"[['funk', 'p funk', 'quiet storm', 'soul']]",[51],[62]
190,0.507,0.423,2.0,-14.187,0.0,0.0332,0.83,0.00916,0.0973,0.701,82.809,257213.0,4.0,1,False,['Buena Vista Social Club'],"[['latin jazz', 'world']]",[1],[67]
191,0.748,0.797,4.0,-4.644,0.0,0.0393,0.0898,0.000142,0.153,0.867,104.039,226844.0,4.0,39,False,['Miami Horror'],"[['alternative dance', 'australian dance', 'australian electropop', 'chillwave', 'dance-punk', 'electroclash', 'electronica', 'filter house', 'indie pop', 'indie soul', 'indietronica', 'new rave', 'nu disco', 'shimmer pop']]",[33],[57]
