,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,song_popularity,explicit,album_popularity,artist_popularity,like,r&b,pop,rap,hip hop,funk,rock,duration_min
1373,0.341,0.536,0,-5.917999999999999,1,0.0348,0.82,0.5820000000000001,0.311,0.514,122.155,4,41,0,59,83,0,0,0,0,0,0,0,3.8117833333333335
1374,0.299,0.263,9,-13.207,0,0.0323,0.968,0.857,0.126,0.113,137.84799999999998,3,61,0,66,81,0,0,0,0,0,0,1,6.4073166666666665
1375,0.45299999999999996,0.5379999999999999,1,-8.212,1,0.0638,0.449,0.0,0.19,0.516,122.973,4,85,1,81,81,0,0,1,1,0,0,0,3.4088833333333333
1376,0.8690000000000001,0.747,9,-7.143,1,0.151,0.512,0.0,0.124,0.784,124.932,4,70,1,81,81,0,0,1,1,0,0,0,2.3697833333333334
1377,0.68,0.634,7,-8.446,1,0.36,0.0208,2.02e-06,0.479,0.693,155.911,4,58,1,81,81,0,0,1,1,0,0,0,1.49355
1378,0.611,0.635,2,-7.016,1,0.31,0.36700000000000005,0.005679999999999999,0.068,0.7390000000000001,82.087,4,62,1,81,81,0,0,1,1,0,0,0,3.5128833333333334
1379,0.47100000000000003,0.496,7,-9.982999999999999,1,0.19899999999999998,0.39899999999999997,0.0008300000000000001,0.37799999999999995,0.569,160.093,4,61,1,81,81,0,0,1,1,0,0,0,5.039333333333333
1380,0.318,0.7659999999999999,9,-6.3020000000000005,0,0.0412,0.13,0.166,0.34,0.195,128.378,3,57,1,81,81,0,0,1,1,0,0,0,4.666666666666667
1381,0.7709999999999999,0.636,2,-5.131,1,0.22899999999999998,0.318,5.9999999999999995e-05,0.0647,0.451,79.832,4,58,1,81,81,0,0,1,1,0,0,0,3.662
1382,0.535,0.9620000000000001,11,-3.4530000000000003,1,0.0638,0.00361,0.0,0.163,0.687,144.984,4,61,0,61,71,0,0,1,0,0,0,1,3.4087666666666667
1383,0.515,0.331,8,-11.37,1,0.18899999999999997,0.0854,0.19399999999999998,0.0775,0.21600000000000003,74.00399999999999,4,56,0,49,54,0,1,1,0,0,0,1,5.53865
1384,0.556,0.345,7,-11.175999999999998,1,0.0264,0.741,0.0061,0.10300000000000001,0.245,139.53,4,56,0,73,71,0,0,0,0,0,0,1,2.957116666666667
1385,0.659,0.316,2,-14.401,0,0.0299,0.594,0.248,0.105,0.64,110.671,4,44,0,47,53,0,0,0,0,0,1,1,3.990666666666667
1386,0.46,0.7709999999999999,9,-7.087999999999999,0,0.32799999999999996,0.518,0.000197,0.0774,0.29600000000000004,88.83,4,64,1,57,75.66666666666667,0,1,1,1,1,0,0,3.5046666666666666
1387,0.785,0.624,7,-9.984,1,0.272,0.205,0.0,0.107,0.35600000000000004,91.835,4,48,0,48,58.666666666666664,0,1,0,0,1,0,0,3.3946666666666667
1388,0.722,0.581,1,-8.241,1,0.0515,0.0674,5.07e-05,0.114,0.802,97.024,4,43,0,46,43,0,0,0,0,0,0,0,3.2752333333333334
1389,0.55,0.373,9,-8.772,1,0.0314,0.391,0.0551,0.0935,0.33,121.941,3,46,0,43,52,0,0,1,0,0,0,0,4.8868833333333335
1390,0.409,0.266,4,-12.167,1,0.0311,0.847,0.0036,0.11199999999999999,0.105,48.875,4,45,0,40,34,0,0,0,0,0,0,0,3.641033333333333
1391,0.45399999999999996,0.82,2,-4.1930000000000005,1,0.0567,0.132,0.0009689999999999999,0.115,0.575,166.303,4,65,0,59,64,0,0,1,0,0,1,1,3.9133333333333336
1392,0.496,0.5920000000000001,9,-9.164,0,0.0444,0.106,0.7170000000000001,0.0787,0.542,93.603,4,56,0,61,63,0,0,1,0,0,0,1,6.9286666666666665
1393,0.28,0.42,4,-9.552999999999999,0,0.0366,0.37200000000000005,8.87e-06,0.134,0.14800000000000002,65.13,4,58,0,51,82,0,0,1,0,0,0,0,3.3002333333333334
1394,0.467,0.354,6,-10.752,0,0.0417,0.0773,0.12,0.124,0.231,164.334,3,41,0,41,38,0,0,0,0,0,0,0,3.1033333333333335
1395,0.848,0.562,1,-8.454,1,0.161,0.5710000000000001,0.0,0.111,0.53,119.91799999999999,4,61,1,60,63,0,0,1,1,1,0,0,3.5286666666666666
1396,0.667,0.629,8,-8.17,1,0.0403,0.133,0.00144,0.0957,0.308,118.976,4,53,1,57,76,0,0,1,0,1,0,0,3.680616666666667
1397,0.743,0.568,2,-6.571000000000001,1,0.122,0.16,0.00202,0.294,0.33799999999999997,119.825,4,58,1,60,63,0,0,1,1,1,0,0,3.536216666666667
1398,0.7559999999999999,0.552,8,-6.912000000000001,1,0.0596,0.11900000000000001,0.0,0.10400000000000001,0.4,146.095,4,56,1,73,76,0,0,1,0,1,0,0,3.1477333333333335
1399,0.8140000000000001,0.63,2,-6.779,1,0.247,0.287,2.3e-05,0.0696,0.39299999999999996,130.91,4,58,1,50,75,0,0,1,0,1,0,0,2.7497833333333332
1400,0.779,0.636,7,-8.449,0,0.155,0.0128,5.2e-06,0.0973,0.276,134.96,4,56,1,70,75,0,0,1,1,1,0,0,4.076216666666666
1401,0.904,0.37799999999999995,5,-10.784,0,0.344,0.324,0.0016600000000000002,0.0865,0.794,132.951,4,49,1,58,68,0,0,1,1,1,0,0,2.90405
1402,0.792,0.763,2,-11.185,1,0.0506,0.425,0.627,0.789,0.152,89.9,4,51,0,78,89,0,0,0,0,0,0,1,0.8828833333333334
1403,0.76,0.9159999999999999,8,-3.017,0,0.0521,0.18600000000000003,1.17e-06,0.0885,0.693,109.993,4,46,0,39,49,0,0,0,0,0,0,0,3.1942166666666667
1404,0.5489999999999999,0.495,6,-5.6610000000000005,0,0.133,0.603,7.26e-06,0.0979,0.385,81.012,4,54,1,73,100,0,0,1,1,1,0,0,4.91085
1405,0.569,0.86,9,-4.1160000000000005,1,0.043,0.135,0.0,0.153,0.289,90.93700000000001,4,76,1,73,75.5,0,0,1,1,1,0,0,4.516
1406,0.7040000000000001,0.628,10,-7.882000000000001,0,0.162,0.0626,1.49e-06,0.10300000000000001,0.654,92.005,4,64,0,65,81,0,0,1,0,0,0,0,3.3207666666666666
1407,0.536,0.71,0,-5.641,0,0.0451,0.013999999999999999,3.25e-06,0.593,0.335,149.996,4,20,0,43,58.5,0,1,1,0,0,0,0,4.266866666666667
1408,0.37799999999999995,0.6990000000000001,6,-8.139,0,0.111,0.32799999999999996,2.25e-05,0.561,0.46399999999999997,171.322,4,42,0,47,45,0,0,1,0,0,0,0,4.9462166666666665
1409,0.494,0.47100000000000003,7,-5.36,0,0.0704,0.42,0.0,0.0907,0.545,101.637,5,47,0,39,75,0,1,1,1,1,0,0,3.5713
1410,0.5670000000000001,0.436,9,-10.325999999999999,1,0.0571,0.778,0.0,0.188,0.252,149.987,4,60,1,72,80,0,1,1,0,0,0,0,5.308883333333333
1411,0.439,0.493,8,-8.999,1,0.259,0.37,0.0,0.604,0.213,74.016,4,0,1,0,38,0,0,0,0,0,0,0,1.8132
1412,0.578,0.588,0,-4.92,0,0.255,0.415,0.0,0.114,0.3,79.17399999999999,5,63,1,56,79,0,1,1,1,1,0,0,3.594516666666667
1413,0.605,0.5529999999999999,10,-10.845,0,0.10099999999999999,0.27399999999999997,0.0152,0.184,0.62,152.076,4,69,0,68,76.5,0,1,1,1,1,0,0,3.0936166666666667
1414,0.71,0.445,7,-11.55,0,0.366,0.465,0.0,0.0861,0.364,152.988,4,5,1,8,39,0,0,1,1,1,0,0,3.1432333333333333
1415,0.6,0.518,3,-10.423,0,0.358,0.45899999999999996,0.0,0.10800000000000001,0.195,172.44400000000002,3,39,1,32,41,0,0,0,1,1,0,0,3.3382666666666667
1416,0.955,0.39799999999999996,1,-7.539,1,0.312,0.08900000000000001,0.0,0.0638,0.385,129.934,4,41,1,61,58,0,0,1,0,1,0,0,2.5416333333333334
1417,0.647,0.446,7,-7.8870000000000005,0,0.0792,0.395,3.63e-06,0.057999999999999996,0.568,123.795,4,50,0,48,46.75,0,0,1,0,1,0,0,4.67355
1418,0.722,0.48200000000000004,11,-7.025,0,0.0479,0.405,0.0,0.0786,0.33899999999999997,115.052,4,34,1,26,45,0,0,1,1,1,0,0,5.947233333333333
1419,0.9059999999999999,0.434,8,-7.795,0,0.185,0.436,0.0,0.0998,0.551,123.01100000000001,4,32,1,30,46.5,0,0,1,1,1,0,0,2.86535
1420,0.6679999999999999,0.467,0,-8.309,1,0.12300000000000001,0.318,0.0,0.11900000000000001,0.37200000000000005,130.186,4,36,1,41,34.5,0,0,0,1,1,0,0,4.302216666666666
1421,0.92,0.516,11,-8.257,0,0.11900000000000001,0.38,0.0,0.0698,0.534,112.01299999999999,4,57,1,57,67,0,0,1,1,1,0,0,4.31485
1422,0.9440000000000001,0.44299999999999995,5,-7.877000000000001,0,0.0638,0.843,1.9699999999999998e-05,0.0984,0.5870000000000001,119.016,4,55,1,47,57,0,0,1,1,1,0,0,2.161966666666667
1423,0.743,0.408,2,-11.257,1,0.146,0.742,7.59e-05,0.125,0.401,142.053,4,31,0,29,47,0,0,0,1,1,0,0,2.5140833333333332
1424,0.657,0.7090000000000001,7,-6.629,0,0.037000000000000005,0.284,0.00359,0.159,0.281,162.929,4,55,1,73,87,0,0,1,1,0,0,0,3.436
1425,0.8290000000000001,0.521,10,-5.582999999999999,1,0.138,0.858,0.0,0.13,0.36700000000000005,106.016,4,69,1,73,88,0,0,1,1,0,0,0,3.34125
1426,0.7759999999999999,0.72,0,-5.794,1,0.0539,0.106,3.21e-06,0.134,0.799,83.988,4,55,1,73,87,0,0,1,1,0,0,0,2.968166666666667
1427,0.862,0.48200000000000004,4,-6.332000000000001,0,0.0384,0.318,0.0,0.127,0.508,112.006,4,60,1,73,87,0,0,1,1,0,0,0,2.8652
1428,0.768,0.574,6,-6.104,0,0.136,0.384,1.65e-05,0.336,0.278,74.949,4,70,1,76,91.5,0,1,1,1,1,0,0,3.6296
1429,0.509,0.79,0,-7.105,0,0.0293,0.218,0.125,0.14400000000000002,0.625,147.07299999999998,4,49,0,44,69,0,0,1,0,0,0,1,5.341116666666666
1430,0.369,0.665,0,-6.19,0,0.0695,0.0148,0.0131,0.37,0.32299999999999995,95.885,5,58,0,65,75,0,0,1,0,0,0,0,5.45445
1431,0.27699999999999997,0.501,9,-11.95,0,0.0374,0.519,0.609,0.124,0.34299999999999997,146.263,4,44,0,51,46,0,0,0,0,0,1,0,5.399116666666667
1432,0.825,0.672,0,-7.108,1,0.418,0.0858,0.0,0.12300000000000001,0.24600000000000002,147.01,4,67,1,77,74.8,0,1,1,1,1,0,0,6.371783333333333
1433,0.654,0.37799999999999995,5,-8.107999999999999,0,0.0322,0.373,1.07e-05,0.0971,0.43700000000000006,72.976,4,65,1,87,95,0,0,0,1,0,0,0,3.247116666666667
1434,0.7440000000000001,0.627,6,-7.845,0,0.381,0.542,0.0,0.165,0.7240000000000001,95.913,4,0,0,0,57,0,0,1,1,1,0,0,3.113933333333333
1435,0.7190000000000001,0.742,9,-6.774,1,0.18600000000000003,0.0768,1.12e-05,0.0905,0.466,120.04,4,41,0,65,82,0,0,1,0,0,0,0,5.340483333333333
1436,0.6859999999999999,0.517,4,-9.318,0,0.0458,0.221,0.00128,0.10400000000000001,0.172,139.988,4,23,0,43,61.5,0,1,1,0,0,0,0,2.6573333333333333
1437,0.53,0.48100000000000004,0,-8.474,1,0.0482,0.0105,0.711,0.0957,0.43799999999999994,152.321,4,45,0,59,66,0,0,0,0,0,1,1,2.7203
1438,0.413,0.46,0,-9.57,0,0.0433,0.775,1.5e-06,0.253,0.29,120.272,4,16,0,31,56,0,0,0,0,0,0,1,4.103783333333333
1439,0.532,0.8740000000000001,9,-5.183,0,0.0482,0.00842,0.012,0.452,0.361,91.038,4,69,0,63,61,0,0,0,0,0,0,0,4.306883333333333
